% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
3.70021	1	3	1	2.63114e-12	5547.41	0
3.70021	1	4	3	2.63114e-12	5547.41	0
3.70121	1	1	2	7.80234e-13	1645.02	0
3.70121	1	2	4	2.63114e-12	5547.41	0
3.70121	1	3	1	2.63114e-12	5547.41	0
3.70121	1	4	3	2.63114e-12	5547.41	0
3.70221	1	1	2	7.80216e-13	1644.98	0
3.70221	1	2	4	2.63114e-12	5547.41	0
3.70221	1	3	1	2.63114e-12	5547.41	0
3.70221	1	4	3	2.63114e-12	5547.41	0
3.70321	1	1	2	7.80197e-13	1644.95	0
3.70321	1	2	4	2.63114e-12	5547.41	0
3.70321	1	3	1	2.63114e-12	5547.41	0
3.70321	1	4	3	2.63114e-12	5547.41	0
3.70421	1	1	2	7.80179e-13	1644.91	0
3.70421	1	2	4	2.63114e-12	5547.41	0
3.70421	1	3	1	2.63114e-12	5547.41	0
3.70421	1	4	3	2.63114e-12	5547.41	0
3.70521	1	1	2	7.80161e-13	1644.87	0
3.70521	1	2	4	2.63114e-12	5547.41	0
3.70521	1	3	1	2.63114e-12	5547.41	0
3.70521	1	4	3	2.63114e-12	5547.41	0
3.70621	1	1	2	7.80142e-13	1644.83	0
3.70621	1	2	4	2.63114e-12	5547.41	0
3.70621	1	3	1	2.63114e-12	5547.41	0
3.70621	1	4	3	2.63114e-12	5547.41	0
3.70721	1	1	2	7.80124e-13	1644.79	0
3.70721	1	2	4	2.63114e-12	5547.41	0
3.70721	1	3	1	2.63114e-12	5547.41	0
3.70721	1	4	3	2.63114e-12	5547.41	0
3.70821	1	1	2	7.80106e-13	1644.75	0
3.70821	1	2	4	2.63114e-12	5547.41	0
3.70821	1	3	1	2.63114e-12	5547.41	0
3.70821	1	4	3	2.63114e-12	5547.41	0
3.70921	1	1	2	7.80087e-13	1644.71	0
3.70921	1	2	4	2.63114e-12	5547.41	0
3.70921	1	3	1	2.63114e-12	5547.41	0
3.70921	1	4	3	2.63114e-12	5547.41	0
3.71021	1	1	2	7.80069e-13	1644.68	0
3.71021	1	2	4	2.63114e-12	5547.41	0
