% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.088	1	3	9	9	1	28	549	0	0	0
0.088	1	1	9	9	2	28	549	0	0	0
0.088	1	4	9	9	3	28	549	0	0	0
0.088	1	2	9	9	4	28	549	0	0	0
0.089	1	3	9	10	1	28	549	0	0	0
0.089	1	1	9	10	2	28	549	0	0	0
0.089	1	4	9	10	3	28	549	0	0	0
0.089	1	2	9	10	4	28	549	0	0	0
0.09	1	3	10	1	1	28	549	0	0	0
0.09	1	1	10	1	2	28	549	0	0	0
0.09	1	4	10	1	3	28	549	0	0	0
0.09	1	2	10	1	4	28	549	0	0	0
0.091	1	3	10	2	1	28	549	0	0	0
0.091	1	1	10	2	2	28	549	0	0	0
0.091	1	4	10	2	3	28	549	0	0	0
0.091	1	2	10	2	4	28	549	0	0	0
0.092	1	3	10	3	1	28	549	0	0	0
0.092	1	1	10	3	2	28	549	0	0	0
0.092	1	4	10	3	3	28	549	0	0	0
0.092	1	2	10	3	4	28	549	0	0	0
0.093	1	3	10	4	1	28	549	0	0	0
0.093	1	1	10	4	2	28	549	0	0	0
0.093	1	4	10	4	3	28	549	0	0	0
0.093	1	2	10	4	4	28	549	0	0	0
0.094	1	3	10	5	1	28	549	0	0	0
0.094	1	1	10	5	2	28	549	0	0	0
0.094	1	4	10	5	3	28	549	0	0	0
0.094	1	2	10	5	4	28	549	0	0	0
0.095	1	3	10	6	1	28	549	0	0	0
0.095	1	1	10	6	2	28	549	0	0	0
0.095	1	4	10	6	3	28	549	0	0	0
0.095	1	2	10	6	4	28	549	0	0	0
0.096	1	3	10	7	1	28	549	0	0	0
0.096	1	1	10	7	2	28	549	0	0	0
0.096	1	4	10	7	3	28	549	0	0	0
0.096	1	2	10	7	4	28	549	0	0	0
0.097	1	3	10	8	1	28	549	0	0	0
0.097	1	1	10	8	2	28	549	0	0	0
0.097	1	4	10	8	3	28	549	0	0	0
0.097	1	2	10	8	4	28	549	0	0	0
0.098	1	3	10	9	1	28	549	0	0	0
0.098	1	1	10	9	2	28	549	0	0	0
0.098	1	4	10	9	3	28	549	0	0	0
0.098	1	2	10	9	4	28	549	0	0	0
0.099	1	3	10	10	1	28	549	0	0	0
0.099	1	1	10	10	2	28	549	0	0	0
0.099	1	4	10	10	3	28	549	0	0	0
0.099	1	2	10	10	4	28	549	0	0	0
0.1	1	3	11	1	1	28	549	0	0	0
0.1	1	1	11	1	2	28	549	0	0	0
0.1	1	4	11	1	3	28	549	0	0	0
0.1	1	2	11	1	4	28	549	0	0	0
0.101	1	3	11	2	1	28	549	0	0	0
0.101	1	1	11	2	2	28	549	0	0	0
0.101	1	4	11	2	3	28	549	0	0	0
0.101	1	2	11	2	4	28	549	0	0	0
0.102	1	3	11	3	1	28	549	0	0	0
