% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.764	1	2	4	3354.36	0
3.801	1	3	1	3354.36	0
3.802	1	1	2	992.34	0
3.803	1	4	3	3354.36	0
3.804	1	2	4	3354.36	0
3.841	1	3	1	3354.36	0
3.842	1	1	2	991.408	0
3.843	1	4	3	3354.36	0
3.844	1	2	4	3354.36	0
3.881	1	3	1	3354.36	0
3.882	1	1	2	990.477	0
3.883	1	4	3	3354.36	0
3.884	1	2	4	3354.36	0
3.921	1	3	1	3354.36	0
3.922	1	1	2	989.547	0
3.923	1	4	3	3354.36	0
3.924	1	2	4	3354.36	0
3.961	1	3	1	3354.36	0
3.962	1	1	2	988.619	0
3.963	1	4	3	3354.36	0
3.964	1	2	4	3354.36	0
4.001	1	3	1	3354.36	0
4.002	1	1	2	987.691	0
4.003	1	4	3	3354.36	0
4.004	1	2	4	3354.36	0
4.041	1	3	1	3354.36	0
4.042	1	1	2	986.765	0
4.043	1	4	3	3354.36	0
4.044	1	2	4	3354.36	0
4.081	1	3	1	3354.36	0
4.082	1	1	2	985.84	0
4.083	1	4	3	3354.36	0
4.084	1	2	4	3354.36	0
4.121	1	3	1	3354.36	0
4.122	1	1	2	984.916	0
4.123	1	4	3	3354.36	0
4.124	1	2	4	3354.36	0
4.161	1	3	1	3354.36	0
4.162	1	1	2	983.993	0
4.163	1	4	3	3354.36	0
4.164	1	2	4	3354.36	0
4.201	1	3	1	3354.36	0
4.202	1	1	2	983.071	0
4.203	1	4	3	3354.36	0
4.204	1	2	4	3354.36	0
4.241	1	3	1	3354.36	0
4.242	1	1	2	982.151	0
4.243	1	4	3	3354.36	0
4.244	1	2	4	3354.36	0
4.281	1	3	1	3354.36	0
4.282	1	1	2	981.231	0
4.283	1	4	3	3354.36	0
4.284	1	2	4	3354.36	0
4.321	1	3	1	3354.36	0
4.322	1	1	2	980.313	0
4.323	1	4	3	3354.36	0
4.324	1	2	4	3354.36	0
4.361	1	3	1	3354.36	0
4.362	1	1	2	979.396	0
4.363	1	4	3	3354.36	0
4.364	1	2	4	3354.36	0
4.401	1	3	1	3354.36	0
4.402	1	1	2	978.48	0
4.403	1	4	3	3354.36	0
4.404	1	2	4	3354.36	0
4.441	1	3	1	3354.36	0
4.442	1	1	2	977.565	0
4.443	1	4	3	3354.36	0
4.444	1	2	4	3354.36	0
4.481	1	3	1	3354.36	0
4.482	1	1	2	976.651	0
4.483	1	4	3	3354.36	0
4.484	1	2	4	3354.36	0
4.521	1	3	1	3354.36	0
4.522	1	1	2	975.739	0
4.523	1	4	3	3354.36	0
4.524	1	2	4	3354.36	0
4.561	1	3	1	3354.36	0
4.562	1	1	2	974.828	0
4.563	1	4	3	3354.36	0
4.564	1	2	4	3354.36	0
4.601	1	3	1	3354.36	0
4.602	1	1	2	973.917	0
4.603	1	4	3	3354.36	0
4.604	1	2	4	3354.36	0
4.641	1	3	1	3354.36	0
4.642	1	1	2	973.008	0
4.643	1	4	3	3354.36	0
4.644	1	2	4	3354.36	0
4.681	1	3	1	3354.36	0
4.682	1	1	2	972.1	0
4.683	1	4	3	3354.36	0
4.684	1	2	4	3354.36	0
4.721	1	3	1	3354.36	0
4.722	1	1	2	971.193	0
4.723	1	4	3	3354.36	0
4.724	1	2	4	3354.36	0
4.761	1	3	1	3354.36	0
4.762	1	1	2	970.288	0
4.763	1	4	3	3354.36	0
4.764	1	2	4	3354.36	0
4.801	1	3	1	3354.36	0
4.802	1	1	2	969.383	0
4.803	1	4	3	3354.36	0
4.804	1	2	4	3354.36	0
4.841	1	3	1	3354.36	0
4.842	1	1	2	968.48	0
4.843	1	4	3	3354.36	0
4.844	1	2	4	3354.36	0
4.881	1	3	1	3354.36	0
4.882	1	1	2	967.577	0
4.883	1	4	3	3354.36	0
4.884	1	2	4	3354.36	0
4.921	1	3	1	3354.36	0
4.922	1	1	2	966.676	0
4.923	1	4	3	3354.36	0
4.924	1	2	4	3354.36	0
4.961	1	3	1	3354.36	0
4.962	1	1	2	965.776	0
4.963	1	4	3	3354.36	0
4.964	1	2	4	3354.36	0
