Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
9.25254	DL DCI Rxed	925	2	1	2	1	0	15	2
9.25296	HARQ FD Txed	925	2	1	2	1	0	17	2
9.25304	DL DCI Rxed	925	3	0	2	1	0	19	2
9.25346	HARQ FD Txed	925	3	0	2	1	0	16	2
9.25354	DL DCI Rxed	925	3	1	2	1	0	18	2
9.25396	HARQ FD Txed	925	3	1	2	1	0	15	2
9.25404	DL DCI Rxed	925	4	0	2	1	0	17	2
9.25446	HARQ FD Txed	925	4	0	2	1	0	19	2
9.25454	DL DCI Rxed	925	4	1	2	1	0	16	2
9.25496	HARQ FD Txed	925	4	1	2	1	0	18	2
9.25504	DL DCI Rxed	925	5	0	2	1	0	15	2
9.25546	HARQ FD Txed	925	5	0	2	1	0	17	2
9.25554	DL DCI Rxed	925	5	1	2	1	0	19	2
9.25596	HARQ FD Txed	925	5	1	2	1	0	16	2
9.25604	DL DCI Rxed	925	6	0	2	1	0	18	2
9.25646	HARQ FD Txed	925	6	0	2	1	0	15	2
9.25654	DL DCI Rxed	925	6	1	2	1	0	17	2
9.25696	HARQ FD Txed	925	6	1	2	1	0	19	2
9.25704	DL DCI Rxed	925	7	0	2	1	0	16	2
9.25746	HARQ FD Txed	925	7	0	2	1	0	18	2
9.25754	DL DCI Rxed	925	7	1	2	1	0	15	2
9.25796	HARQ FD Txed	925	7	1	2	1	0	17	2
9.25804	DL DCI Rxed	925	8	0	2	1	0	19	2
9.25846	HARQ FD Txed	925	8	0	2	1	0	16	2
9.25854	DL DCI Rxed	925	8	1	2	1	0	18	2
9.25896	HARQ FD Txed	925	8	1	2	1	0	15	2
9.25904	DL DCI Rxed	925	9	0	2	1	0	17	2
9.25946	HARQ FD Txed	925	9	0	2	1	0	19	2
9.25954	DL DCI Rxed	925	9	1	2	1	0	16	2
9.25996	HARQ FD Txed	925	9	1	2	1	0	18	2
9.26004	DL DCI Rxed	926	0	0	2	1	0	15	2
9.26046	HARQ FD Txed	926	0	0	2	1	0	17	2
9.26054	DL DCI Rxed	926	0	1	2	1	0	19	2
9.26096	HARQ FD Txed	926	0	1	2	1	0	16	2
9.26104	DL DCI Rxed	926	1	0	2	1	0	18	2
9.26146	HARQ FD Txed	926	1	0	2	1	0	15	2
9.26154	DL DCI Rxed	926	1	1	2	1	0	17	2
9.26196	HARQ FD Txed	926	1	1	2	1	0	19	2
9.26204	DL DCI Rxed	926	2	0	2	1	0	16	2
9.26246	HARQ FD Txed	926	2	0	2	1	0	18	2
9.26254	DL DCI Rxed	926	2	1	2	1	0	15	2
9.26296	HARQ FD Txed	926	2	1	2	1	0	17	2
9.26304	DL DCI Rxed	926	3	0	2	1	0	19	2
9.26346	HARQ FD Txed	926	3	0	2	1	0	16	2
9.26354	DL DCI Rxed	926	3	1	2	1	0	18	2
9.26396	HARQ FD Txed	926	3	1	2	1	0	15	2
9.26404	DL DCI Rxed	926	4	0	2	1	0	17	2
9.26446	HARQ FD Txed	926	4	0	2	1	0	19	2
9.26454	DL DCI Rxed	926	4	1	2	1	0	16	2
9.26496	HARQ FD Txed	926	4	1	2	1	0	18	2
9.26504	DL DCI Rxed	926	5	0	2	1	0	15	2
9.26546	HARQ FD Txed	926	5	0	2	1	0	17	2
9.26554	DL DCI Rxed	926	5	1	2	1	0	19	2
9.26596	HARQ FD Txed	926	5	1	2	1	0	16	2
9.26604	DL DCI Rxed	926	6	0	2	1	0	18	2
9.26646	HARQ FD Txed	926	6	0	2	1	0	15	2
9.26654	DL DCI Rxed	926	6	1	2	1	0	17	2
9.26696	HARQ FD Txed	926	6	1	2	1	0	19	2
9.26704	DL DCI Rxed	926	7	0	2	1	0	16	2
9.26746	HARQ FD Txed	926	7	0	2	1	0	18	2
9.26754	DL DCI Rxed	926	7	1	2	1	0	15	2
9.26796	HARQ FD Txed	926	7	1	2	1	0	17	2
9.26804	DL DCI Rxed	926	8	0	2	1	0	19	2
9.26846	HARQ FD Txed	926	8	0	2	1	0	16	2
9.26854	DL DCI Rxed	926	8	1	2	1	0	18	2
9.26896	HARQ FD Txed	926	8	1	2	1	0	15	2
9.26904	DL DCI Rxed	926	9	0	2	1	0	17	2
9.26946	HARQ FD Txed	926	9	0	2	1	0	19	2
9.26954	DL DCI Rxed	926	9	1	2	1	0	16	2
9.26996	HARQ FD Txed	926	9	1	2	1	0	18	2
9.27004	DL DCI Rxed	927	0	0	2	1	0	15	2
9.27046	HARQ FD Txed	927	0	0	2	1	0	17	2
9.27054	DL DCI Rxed	927	0	1	2	1	0	19	2
9.27096	HARQ FD Txed	927	0	1	2	1	0	16	2
9.27104	DL DCI Rxed	927	1	0	2	1	0	18	2
9.27146	HARQ FD Txed	927	1	0	2	1	0	15	2
9.27154	DL DCI Rxed	927	1	1	2	1	0	17	2
9.27196	HARQ FD Txed	927	1	1	2	1	0	19	2
9.27204	DL DCI Rxed	927	2	0	2	1	0	16	2
9.27246	HARQ FD Txed	927	2	0	2	1	0	18	2
9.27254	DL DCI Rxed	927	2	1	2	1	0	15	2
9.27296	HARQ FD Txed	927	2	1	2	1	0	17	2
9.27304	DL DCI Rxed	927	3	0	2	1	0	19	2
9.27346	HARQ FD Txed	927	3	0	2	1	0	16	2
9.27354	DL DCI Rxed	927	3	1	2	1	0	18	2
9.27396	HARQ FD Txed	927	3	1	2	1	0	15	2
9.27404	DL DCI Rxed	927	4	0	2	1	0	17	2
9.27446	HARQ FD Txed	927	4	0	2	1	0	19	2
9.27454	DL DCI Rxed	927	4	1	2	1	0	16	2
9.27496	HARQ FD Txed	927	4	1	2	1	0	18	2
9.27504	DL DCI Rxed	927	5	0	2	1	0	15	2
9.27546	HARQ FD Txed	927	5	0	2	1	0	17	2
9.27554	DL DCI Rxed	927	5	1	2	1	0	19	2
9.27596	HARQ FD Txed	927	5	1	2	1	0	16	2
9.27604	DL DCI Rxed	927	6	0	2	1	0	18	2
9.27646	HARQ FD Txed	927	6	0	2	1	0	15	2
9.27654	DL DCI Rxed	927	6	1	2	1	0	17	2
9.27696	HARQ FD Txed	927	6	1	2	1	0	19	2
9.27704	DL DCI Rxed	927	7	0	2	1	0	16	2
9.27746	HARQ FD Txed	927	7	0	2	1	0	18	2
9.27754	DL DCI Rxed	927	7	1	2	1	0	15	2
9.27796	HARQ FD Txed	927	7	1	2	1	0	17	2
9.27804	DL DCI Rxed	927	8	0	2	1	0	19	2
9.27846	HARQ FD Txed	927	8	0	2	1	0	16	2
9.27854	DL DCI Rxed	927	8	1	2	1	0	18	2
9.27896	HARQ FD Txed	927	8	1	2	1	0	15	2
9.27904	DL DCI Rxed	927	9	0	2	1	0	17	2
9.27946	HARQ FD Txed	927	9	0	2	1	0	19	2
9.27954	DL DCI Rxed	927	9	1	2	1	0	16	2
9.27996	HARQ FD Txed	927	9	1	2	1	0	18	2
9.28004	DL DCI Rxed	928	0	0	2	1	0	15	2
9.28046	HARQ FD Txed	928	0	0	2	1	0	17	2
